Title,Authors,Affiliations,Abstract,Keywords,PDF Link,Year,Match Score,Text_clean
A Discussion on Parallelization Schemes for Stochastic Vector Quantization Algorithms,"Matthieu Durut, Benoit Patra, Fabrice Rossi","1 - Telecom ParisTech -INFRES 46 rue Barrault -Paris France
2 - Université Pierre et Marie Curie -LSTA 4 place Jussieu -Paris -France 3-Lokad, 10 rue Philippe de Champaigne -Paris -France 4-SAMM
3 - Université Paris I Panthéon-Sorbonne -90 rue de Tolbiac -Paris France","This paper studies parallelization schemes for stochastic Vector Quantization algorithms in order to obtain time speed-ups using distributed resources. We show that the most intuitive parallelization scheme does not lead to better performances than the sequential algorithm. Another distributed scheme is therefore introduced which obtains the expected speedups. Then, it is improved to fit implementation on distributed architectures where communications are slow and inter-machines synchronization too costly. The schemes are tested with simulated distributed architectures and, for the last one, with Microsoft Windows Azure platform obtaining speed-ups up to 32 Virtual Machines.",Recent developments in clustering algorithms,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-127.pdf,2012,100.0,"A Discussion on Parallelization Schemes for Stochastic Vector Quantization Algorithms This paper studies parallelization schemes for stochastic Vector Quantization algorithms in order to obtain time speed-ups using distributed resources. We show that the most intuitive parallelization scheme does not lead to better performances than the sequential algorithm. Another distributed scheme is therefore introduced which obtains the expected speedups. Then, it is improved to fit implementation on distributed architectures where communications are slow and inter-machines synchronization too costly. The schemes are tested with simulated distributed architectures and, for the last one, with Microsoft Windows Azure platform obtaining speed-ups up to 32 Virtual Machines."
One-class classifier based on extreme value statistics,"David Martinez-Rego, Evan Kriminger, Jose Principe, Oscar Fontenla-Romero, Amparo Alonso-Betanzos","1 - Dept. of Computer Science -LIDIA Group Campus de Elvina, s/n 15071 A Coruna Spain
2 - Computational NeuroEgineering Lab University of Florida 32611 Gainesville FL","In recent years, interest in one-class classification methods has soared due to its wide applicability in many practical problems in which classification in the absence of counterexamples is needed. In this paper, a new one class classification rule based on order statistics is presented. It only relies on embedding the classification problem into a metric space, so it is suitable for Euclidean or other structured mappings. The suitability of the proposed method is assessed through a comparison both for artificial and real life data sets. The good results obtained pave the road for its application on practical novelty detection problems.",Classification and model selection,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-13.pdf,2012,91.22807017543859,"One-class classifier based on extreme value statistics In recent years, interest in one-class classification methods has soared due to its wide applicability in many practical problems in which classification in the absence of counterexamples is needed. In this paper, a new one class classification rule based on order statistics is presented. It only relies on embedding the classification problem into a metric space, so it is suitable for Euclidean or other structured mappings. The suitability of the proposed method is assessed through a comparison both for artificial and real life data sets. The good results obtained pave the road for its application on practical novelty detection problems."
BCI Signal Classification using a Riemannian-based kernel,"Alexandre Barachant, Stéphane Bonnet, Marco Congedo, Christian Jutten","1 - DTBS/STD/LE2S CEA, LETI 17 rue des Martyrs F-38054 Grenoble France
3 - Team ViBS (Vision and Brain Signal Processing) GIPSA-lab CNRS Grenoble Universities. Domaine Universitaire F-38402 Saint Martin d'Hères France","The use of spatial covariance matrix as feature is investigated for motor imagery EEG-based classification. A new kernel is derived by establishing a connection with the Riemannian geometry of symmetric positive definite matrices. Different kernels are tested, in combination with support vector machines, on a past BCI competition dataset. We demonstrate that this new approach outperforms significantly state of the art results without the need for spatial filtering.",Brain-computer interfaces,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-130.pdf,2012,100.0,"BCI Signal Classification using a Riemannian-based kernel The use of spatial covariance matrix as feature is investigated for motor imagery EEG-based classification. A new kernel is derived by establishing a connection with the Riemannian geometry of symmetric positive definite matrices. Different kernels are tested, in combination with support vector machines, on a past BCI competition dataset. We demonstrate that this new approach outperforms significantly state of the art results without the need for spatial filtering."
Dissimilarity Clustering by Hierarchical Multi-Level Refinement,"Brieuc Conan-Guez, Fabrice Rossi","1 - LITA EA Université Paul Verlaine-Metz Île du Saulcy 3097, 57045 Metz cedex 1 France
2 - SAMM EA Université Paris 1 Panthéon-Sorbonne 90, rue de Tolbiac 4543, 75634 Paris cedex 13 France","We introduce in this paper a new way of optimizing the natural extension of the quantization error using in k-means clustering to dissimilarity data. The proposed method is based on hierarchical clustering analysis combined with multi-level heuristic refinement. The method is computationally efficient and achieves better quantization errors than the relational k-means. 
 Hierarchical Clustering Analysis 
 Dissimilarity matrix and error measure We consider the general case of a set Ω equipped with a dissimilarity measure. This is a map from Ω × Ω → R + , which is reflexive and symmetric, i.e.,",Recent developments in clustering algorithms,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-132.pdf,2012,100.0,"Dissimilarity Clustering by Hierarchical Multi-Level Refinement We introduce in this paper a new way of optimizing the natural extension of the quantization error using in k-means clustering to dissimilarity data. The proposed method is based on hierarchical clustering analysis combined with multi-level heuristic refinement. The method is computationally efficient and achieves better quantization errors than the relational k-means. 
 Hierarchical Clustering Analysis 
 Dissimilarity matrix and error measure We consider the general case of a set Ω equipped with a dissimilarity measure. This is a map from Ω × Ω → R + , which is reflexive and symmetric, i.e.,"
Enhanced emotion recognition by feature selection to animate a talking head,"Hela Daassi-Gnaba, Yacine Oussar","1 - Université Paris 8 -Laboratoire d'Informatique Avancée de Saint-Denis (LIASD 2 rue de la Liberté 4383, 93526 Saint-Denis Cedex EA France
2 - Laboratoire de Physique et d' Étude des Matériaux (LPEM) ESPCI-ParisTech 10 rue Vauquelin 75231 Paris Cedex France","It is known that deaf and hard of hearing people can substantially improve their skill to lip reading if they have access to speaker emotion. Moreover, it has been shown that animating an artificial talking head can provide this modality. In this paper, we assume that emotion recognition to animate such talking head can be performed using a small set of relevant features extracted from the speech signal. More precisely, we show that the implementation of linear classifiers using Support Vector Machines (SVM) with the involvement of a feature selection method leads to a promising performance which confirms our assumption.",Feature selection and information-based learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-133.pdf,2012,88.0,"Enhanced emotion recognition by feature selection to animate a talking head It is known that deaf and hard of hearing people can substantially improve their skill to lip reading if they have access to speaker emotion. Moreover, it has been shown that animating an artificial talking head can provide this modality. In this paper, we assume that emotion recognition to animate such talking head can be performed using a small set of relevant features extracted from the speech signal. More precisely, we show that the implementation of linear classifiers using Support Vector Machines (SVM) with the involvement of a feature selection method leads to a promising performance which confirms our assumption."
Implementation Issues of Kohonen Self-Organizing Map Realized on FPGA,"Marta Kolasa, Micha Szulc, Witold Pedrycz, Pierre-André Farine","1 - Faculty of Telecommunication and Electrical Engineering University of Technology and Life Sciences ul Kaliskiego 7 85-796 Bydgoszcz Poland
2 - -Institute of Microtechnology Swiss Federal Institute of Technology in Lausanne Rue A.-L Breguet 2 CH-2000 Neuchâtel Switzerland
4 - Chair of Computer Engineering Poznań University of Technology ul. Polanka 3A 60-965 Poznań Poland
5 - Department of Electrical and Computer Engineering University of Alberta T6G 2V4 Edmonton AB Canada","Presented are the investigations showing an impact of the length of data signals in hardware implemented Kohonen Self-Organizing Maps (SOM) on the quality of the learning process. The aim of this work was to determine the allowable reduction of the number of bits in particular signals that does not deteriorate the network behavior. The efficiency of the learning process has been quantified by using the quantization error. The results obtained for the SOM realized on Field Programmable Gate Array (FPGA), as well as by means of the software model of the SOM show that the smallest allowable resolution (expressed in bits) of the weight signals equals seven, while the minimal bit length of the neighborhood signal ranges from 3 to 6 (depending on the map topology). For such values and properly selected values of other parameters the learning process remains undisturbed. Reducing the number of bits has an influence on the number of neurons that can be synthesized on a single FPGA device.",Parallel hardware architectures for acceleration of neural network computation,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-137.pdf,2012,100.0,"Implementation Issues of Kohonen Self-Organizing Map Realized on FPGA Presented are the investigations showing an impact of the length of data signals in hardware implemented Kohonen Self-Organizing Maps (SOM) on the quality of the learning process. The aim of this work was to determine the allowable reduction of the number of bits in particular signals that does not deteriorate the network behavior. The efficiency of the learning process has been quantified by using the quantization error. The results obtained for the SOM realized on Field Programmable Gate Array (FPGA), as well as by means of the software model of the SOM show that the smallest allowable resolution (expressed in bits) of the weight signals equals seven, while the minimal bit length of the neighborhood signal ranges from 3 to 6 (depending on the map topology). For such values and properly selected values of other parameters the learning process remains undisturbed. Reducing the number of bits has an influence on the number of neurons that can be synthesized on a single FPGA device."
Highly efficient Localisation utilising Weightless neural systems,"Ben Mcelroy, Michael Gillham, Gareth Howells, Sarah Spurgeon, Stephen Kelly, John Batchelor, Matthew Pepper","1 - School of Engineering and Digital Arts University of Kent
2 - East Kent Hospitals University Foundation Trust","Efficient localisation is a highly desirable property for an autonomous navigation system. Weightless neural networks offer a real-time approach to robotics applications by reducing hardware and software requirements for pattern recognition techniques. Such networks offer the potential for objects, structures, routes and locations to be easily identified and maps constructed from fused limited sensor data as information becomes available. We show that in the absence of concise and complex information, localisation can be obtained using simple algorithms from data with inherent uncertainties using a combination of Genetic Algorithm techniques applied to a Weightless Neural Architecture.","Recurrent and neural networks, reinforcement learning, control",https://www.esann.org/sites/default/files/proceedings/legacy/es2012-138.pdf,2012,66.15384615384615,"Highly efficient Localisation utilising Weightless neural systems Efficient localisation is a highly desirable property for an autonomous navigation system. Weightless neural networks offer a real-time approach to robotics applications by reducing hardware and software requirements for pattern recognition techniques. Such networks offer the potential for objects, structures, routes and locations to be easily identified and maps constructed from fused limited sensor data as information becomes available. We show that in the absence of concise and complex information, localisation can be obtained using simple algorithms from data with inherent uncertainties using a combination of Genetic Algorithm techniques applied to a Weightless Neural Architecture."
Classifying Scotch Whisky from near-infrared Raman spectra with a Radial Basis Function Network with Relevance Learning,"Andreas Backhaus, Praveen Ashok, Bavishna Praveen, Kishan Dholakia, Udo Seiffert","1 - SUPA School of Physics and Astronomy University of St. Andrews North Haugh Fife Scotland, UK
4 - Fraunhofer Institute for Factory Operation and Automation (IFF) 1-Biosystems Engineering Magdeburg Germany",The instantaneous assessment of high-priced liquor products with minimal sample volume and no special preparation is an important task for quality monitoring and fraud detection. In this contribution the automated classification of Raman spectra acquired with a special optofluidic chip is performed with the use of a number of Artificial Neural Networks. A standard Radial Basis Function Network is adopted to incorporate relevance learning and showed robust classification performance across classification tasks. The acquired relevance weighting per feature dimension can be used to reduce the number of features while retaining a high level of accuracy.,Classification and model selection,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-139.pdf,2012,100.0,Classifying Scotch Whisky from near-infrared Raman spectra with a Radial Basis Function Network with Relevance Learning The instantaneous assessment of high-priced liquor products with minimal sample volume and no special preparation is an important task for quality monitoring and fraud detection. In this contribution the automated classification of Raman spectra acquired with a special optofluidic chip is performed with the use of a number of Artificial Neural Networks. A standard Radial Basis Function Network is adopted to incorporate relevance learning and showed robust classification performance across classification tasks. The acquired relevance weighting per feature dimension can be used to reduce the number of features while retaining a high level of accuracy.
Semi-Supervised Neural Gas for Adaptive Brain-Computer Interfaces,"Hannes Riechmann, Andrea Finke",1 - Bielefeld University -CITEC Universitaetsstrasse 21 33615 Bielefeld Germany,"Non-stationarity is inherent in EEG data. We propose a concept for an adaptive brain computer interface (BCI) that adapts a classifier to the changes in EEG data. It combines labeled and unlabeled data acquired during normal operation of the system. The classifier is based on Fuzzy Neural Gas (FNG), a prototype-based classifier. Based on four data sets we show that retraining the classifier significantly increases classification accuracy. Our approach smoothly adapts to the session-tosession variations in the data.",Brain-computer interfaces,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-140.pdf,2012,100.0,"Semi-Supervised Neural Gas for Adaptive Brain-Computer Interfaces Non-stationarity is inherent in EEG data. We propose a concept for an adaptive brain computer interface (BCI) that adapts a classifier to the changes in EEG data. It combines labeled and unlabeled data acquired during normal operation of the system. The classifier is based on Fuzzy Neural Gas (FNG), a prototype-based classifier. Based on four data sets we show that retraining the classifier significantly increases classification accuracy. Our approach smoothly adapts to the session-tosession variations in the data."
Distributed Learning via Diffusion Adaptation with Application to Ensemble Learning,"Zaid Towfic, Jianshu Chen, Ali Sayed",1 - Electrical Engineering Department University of California Los Angeles,"We examine the problem of learning a set of parameters from a distributed dataset. We assume the datasets are collected by agents over a distributed ad-hoc network, and that the communication of the actual raw data is prohibitive due to either privacy constraints or communication constraints. We propose a distributed algorithm for online learning that is proved to guarantee a bounded excess risk and the bound can be made arbitrary small for sufficiently small step-sizes. We apply our framework to the expert advice problem where nodes learn the weights for the trained experts distributively.",Machine ensembles: theory and applications,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-141.pdf,2012,68.67469879518072,"Distributed Learning via Diffusion Adaptation with Application to Ensemble Learning We examine the problem of learning a set of parameters from a distributed dataset. We assume the datasets are collected by agents over a distributed ad-hoc network, and that the communication of the actual raw data is prohibitive due to either privacy constraints or communication constraints. We propose a distributed algorithm for online learning that is proved to guarantee a bounded excess risk and the bound can be made arbitrary small for sufficiently small step-sizes. We apply our framework to the expert advice problem where nodes learn the weights for the trained experts distributively."
Simple Reservoirs with Chain Topology Based on a Single Time-Delay Nonlinear Node,"J Gutiérrez, D San-Martín, S Ortín, L Pesquera, L Cdtuc, Santander -Spain",1 - Instituto de Física de Cantabria (IFCA) CSIC-Univ. Cantabria Avda. de los Castros. Santander Spain,A physical scheme based on a single nonlinear dynamical system with delayed feedback has been recently proposed for Reservoir Computing (RC)  [1] . In this paper we present a computational implementation of this idea using a simple chain topology with properties derived from its physical counterpart (e.g. the reservoir is defined by two tunable parameters related to feedback-and input-strength terms). An application to time series prediction is described and a comparison with other standard reservoir computing methods is given.,Theory and practice of adaptive input driven dynamical dystems,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-142.pdf,2012,74.07407407407408,Simple Reservoirs with Chain Topology Based on a Single Time-Delay Nonlinear Node A physical scheme based on a single nonlinear dynamical system with delayed feedback has been recently proposed for Reservoir Computing (RC)  [1] . In this paper we present a computational implementation of this idea using a simple chain topology with properties derived from its physical counterpart (e.g. the reservoir is defined by two tunable parameters related to feedback-and input-strength terms). An application to time series prediction is described and a comparison with other standard reservoir computing methods is given.
A Hybrid CMOS/Memristive Nanoelectronic Circuit for Programming Synaptic Weights,"Arne Heittmann, Tobias Noll",1 - Chair of Electrical Engineering and Computer Systems RWTH Aachen University D-52062 Aachen Germany,"In this paper a hybrid circuit is presented which comprises nanoelectronic resistive switches based on the electrochemical memory effect (ECM) as well as devices from a standard 40nm-CMOS process. A closed ECM device model, which is based on device physics, was used for simulations allowing for a precise prediction of the expected I-V characteristics. The device is used as a non-volatile and/or programmable synapse in a neuromorphic architecture. Expected performance figures are derived such as write time as well as robustness with regard to variations of supply voltage and timing errors. The results show that ECM cells are prospective devices for hybrid neuromorphic systems.",Parallel hardware architectures for acceleration of neural network computation,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-146.pdf,2012,86.25,"A Hybrid CMOS/Memristive Nanoelectronic Circuit for Programming Synaptic Weights In this paper a hybrid circuit is presented which comprises nanoelectronic resistive switches based on the electrochemical memory effect (ECM) as well as devices from a standard 40nm-CMOS process. A closed ECM device model, which is based on device physics, was used for simulations allowing for a precise prediction of the expected I-V characteristics. The device is used as a non-volatile and/or programmable synapse in a neuromorphic architecture. Expected performance figures are derived such as write time as well as robustness with regard to variations of supply voltage and timing errors. The results show that ECM cells are prospective devices for hybrid neuromorphic systems."
Similarity networks for heterogeneous data,"Lluís Belanche, Jerónimo Hernández","1 - Faculty of Computer Science -Dept. of Software Technical University of Catalonia Barcelona Spain
2 - Intelligent Systems Group -Dept. of Computer Science Artificial Intelligence University of the Basque Country Donostia Spain","A two-layer neural network is developed in which the neuron model computes a user-defined similarity function between inputs and weights. The neuron model is formed by the composition of an adapted logistic function with the mean of the partial input-weight similarities. The model is capable of dealing directly with variables of potentially different nature (continuous, ordinal, categorical); there is also provision for missing values. The network is trained using a fast two-stage procedure and involves the setting of only one parameter. In our experiments, the network achieves slightly superior performance on a set of challenging problems with respect to both RBF nets and RBF-kernel SVMs.",Interpretable models in machine learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-148.pdf,2012,100.0,"Similarity networks for heterogeneous data A two-layer neural network is developed in which the neuron model computes a user-defined similarity function between inputs and weights. The neuron model is formed by the composition of an adapted logistic function with the mean of the partial input-weight similarities. The model is capable of dealing directly with variables of potentially different nature (continuous, ordinal, categorical); there is also provision for missing values. The network is trained using a fast two-stage procedure and involves the setting of only one parameter. In our experiments, the network achieves slightly superior performance on a set of challenging problems with respect to both RBF nets and RBF-kernel SVMs."
Joint Regression and Linear Combination of Time Series for Optimal Prediction,"Dries Geebelen, Kim Batselier, Philippe Dreesen, Marco Signoretto, Johan Suykens, Bart De Moor, Joos Vandewalle","1 - Department of Electrical Engineering-ESAT SCD-SISTA 1-KULeuven
2 - IBBT Future Health Department Kasteelpark Arenberg 10 B-3001 Leuven Belgium",In most machine learning applications the time series to predict is fixed and one has to learn a prediction model that causes the smallest error. In this paper choosing the time series to predict is part of the optimization problem. This time series has to be a linear combination of a priori given time series. The optimization problem that we have to solve can be formulated as choosing the linear combination of a priori known matrices such that the smallest singular vector is minimized. This problem has many local minima and can be formulated as a polynomial system which we will solve using a polynomial system solver. The proposed prediction algorithm has applications in algorithmic trading in which a linear combination of stocks will be bought.,Statistical methods and kernel-based algorithms,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-149.pdf,2012,100.0,Joint Regression and Linear Combination of Time Series for Optimal Prediction In most machine learning applications the time series to predict is fixed and one has to learn a prediction model that causes the smallest error. In this paper choosing the time series to predict is part of the optimization problem. This time series has to be a linear combination of a priori given time series. The optimization problem that we have to solve can be formulated as choosing the linear combination of a priori known matrices such that the smallest singular vector is minimized. This problem has many local minima and can be formulated as a polynomial system which we will solve using a polynomial system solver. The proposed prediction algorithm has applications in algorithmic trading in which a linear combination of stocks will be bought.
Intrinsic Plasticity via Natural Gradient Descent,"Klaus Neumann, Jochen Steil",1 - Research Institute for Cognition and Robotics (CoR-Lab Bielefeld University Germany,"This paper introduces the natural gradient for intrinsic plasticity, which tunes a neuron's activation function such that its output distribution becomes exponentially distributed. The information-geometric properties of the intrinsic plasticity potential are analyzed and the improved learning dynamics when using the natural gradient are evaluated for a variety of input distributions. The applied measure for evaluation is the relative geodesic length of the respective path in parameter space.","Recurrent and neural networks, reinforcement learning, control",https://www.esann.org/sites/default/files/proceedings/legacy/es2012-15.pdf,2012,89.79591836734694,"Intrinsic Plasticity via Natural Gradient Descent This paper introduces the natural gradient for intrinsic plasticity, which tunes a neuron's activation function such that its output distribution becomes exponentially distributed. The information-geometric properties of the intrinsic plasticity potential are analyzed and the improved learning dynamics when using the natural gradient are evaluated for a variety of input distributions. The applied measure for evaluation is the relative geodesic length of the respective path in parameter space."
ÖÓÑ Ò ÙÖÓÒ Ð Ó×Ø¹ × Ñ ØÖ × ØÓÛ Ö × ×Ô Ö× Ó × Ò Ð× Ð ×× Ø ÓÒ,"Ò Óòý Åóùö Ù, ¸éù Òø Ò Öø Ð Ñý, ¸ Ùö Ð Ò Å Ýóù, ¸ Óùý¹è Ðð Ö 1 ¸ Ò Ø Óòý Ä Öù, ¸à Ð Ò È Ù Ñ¹åó ×ý",Unknown,"Stocks of the German Prime standard have to publish financial reports every three months which were not used fully for fundamental analysis so far. Through web scrapping, an up-to-date high-dimensional dataset of 45 features of 269 companies was extracted, but finding meaningful cluster structures in a high-dimensional dataset with a low number of cases is still a challenge in data science. A hybrid of a swarm with a SOM called Databionic swarm (DBS) found meaningful structures in the financial reports. Using the Chord distance the DBS algorithm results in a topographic map of high-dimensional structures and a clustering. Knowledge from the clustering is acquired using CART. The cluster structures can be explained by simple rules that allow predicting which future stock courses will fall with a 70% probability.",Domain adaptation and learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-34.pdf,2012,22.3463687150838,"ÖÓÑ Ò ÙÖÓÒ Ð Ó×Ø¹ × Ñ ØÖ × ØÓÛ Ö × ×Ô Ö× Ó × Ò Ð× Ð ×× Ø ÓÒ Stocks of the German Prime standard have to publish financial reports every three months which were not used fully for fundamental analysis so far. Through web scrapping, an up-to-date high-dimensional dataset of 45 features of 269 companies was extracted, but finding meaningful cluster structures in a high-dimensional dataset with a low number of cases is still a challenge in data science. A hybrid of a swarm with a SOM called Databionic swarm (DBS) found meaningful structures in the financial reports. Using the Chord distance the DBS algorithm results in a topographic map of high-dimensional structures and a clustering. Knowledge from the clustering is acquired using CART. The cluster structures can be explained by simple rules that allow predicting which future stock courses will fall with a 70% probability."
Recognition of HIV-1 subtypes and antiretroviral drug resistance using weightless neural networks,"Caio Souza, Flavio Nobre, Priscila Lima, Robson Silva, Rodrigo Brindeiro, Felipe França","1 - COPPE Universidade Federal do Rio de Janeiro Brazil
3 - DEMAT/ICE Universidade Federal Rural do Rio de Janeiro Brazil
5 - Laboratory of Molecular Virology Universidade Federal do Rio de Janeiro Brazil","This work presents an application of an improved version of the WiSARD weightless neural network in the recognition of different mutation types of HIV-1 and in the determination of antiretroviral drugs resistence. The data set used consists of 1205 gene sequence of the HIV-1 protease of subtypes B, C and F from patients under treatment failure. Experiments performed with the bleaching technique over the WiSARD model under different data representation strategies have shown promising results, both in terms of accuracy and standard deviation. 
 Materials and Methods 
 Database The data set were provided by Molecular Virology Laboratory at the Federal University of Rio de Janeiro (UFRJ / Brazil). This database consists of 1205 gene sequence of the HIV-1 protease from patients with HIV-1. The samples are distributed in 6 classes according to their subtype and drug resistance: B resistance (62%), B naïve (8%), C resistance (12%), C naïve (4%), F resistance (11,5%), F naive (1,5). This is distribution is similar to the Brazilian reality [4]. 
 WiSARD The WiSARD (Wilkie, Stonham and Aleksander's Recognition Device) is a weightless neural network based on the set of answers from RAM's memories. It was",Classification and model selection,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-154.pdf,2012,100.0,"Recognition of HIV-1 subtypes and antiretroviral drug resistance using weightless neural networks This work presents an application of an improved version of the WiSARD weightless neural network in the recognition of different mutation types of HIV-1 and in the determination of antiretroviral drugs resistence. The data set used consists of 1205 gene sequence of the HIV-1 protease of subtypes B, C and F from patients under treatment failure. Experiments performed with the bleaching technique over the WiSARD model under different data representation strategies have shown promising results, both in terms of accuracy and standard deviation. 
 Materials and Methods 
 Database The data set were provided by Molecular Virology Laboratory at the Federal University of Rio de Janeiro (UFRJ / Brazil). This database consists of 1205 gene sequence of the HIV-1 protease from patients with HIV-1. The samples are distributed in 6 classes according to their subtype and drug resistance: B resistance (62%), B naïve (8%), C resistance (12%), C naïve (4%), F resistance (11,5%), F naive (1,5). This is distribution is similar to the Brazilian reality [4]. 
 WiSARD The WiSARD (Wilkie, Stonham and Aleksander's Recognition Device) is a weightless neural network based on the set of answers from RAM's memories. It was"
Linear kernel combination using boosting,"Alexis Lechervy, Philippe-Henri Gosselin, Frédéric Precioso","1 - ETIS -CNRS ENSEA Université de Cergy-Pontoise 6 avenue du Ponceau F-95000 Cergy-Pontoise France
3 - route des Lucioles I3S -UMR7271 -UNS CNRS 2000, 06903 Sophia Antipolis France","In this paper, we propose a novel algorithm to design multiclass kernels based on an iterative combination of weak kernels in a schema inspired from the boosting framework. Our solution has a complexity linear with the training set size. We evaluate our method for classification on a toy example by integrating our multi-class kernel into a kNN classifier and comparing our results with a reference iterative kernel design method. We also evaluate our method for image categorization by considering a classic image database and comparing our boosted linear kernel combination with the direct linear combination of all features in a linear SVM.",Machine ensembles: theory and applications,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-156.pdf,2012,100.0,"Linear kernel combination using boosting In this paper, we propose a novel algorithm to design multiclass kernels based on an iterative combination of weak kernels in a schema inspired from the boosting framework. Our solution has a complexity linear with the training set size. We evaluate our method for classification on a toy example by integrating our multi-class kernel into a kNN classifier and comparing our results with a reference iterative kernel design method. We also evaluate our method for image categorization by considering a classic image database and comparing our boosted linear kernel combination with the direct linear combination of all features in a linear SVM."
Extraction of Betti numbers based on a generative model,"Maxime Maillot, Michaël Aupetit, Gerard Govaert","1 - -CEA, LIST, Information, Models and Machine Learning Laboratory (LIMA) F-91191 Gif-sur-Yvette France
3 - University of Technology of Compiegne -Heudiasyc BP 20529 F 60205 Compiègne France","Analysis of multidimensional data is challenging. Topological invariants can be used to summarize essential features of such data sets. In this work, we propose to compute the Betti numbers from a generative model based on a simplicial complex learnt from the data. We compare it to the Witness Complex, a geometric technique based on nearest neighbors. Our results on different data distributions with known topology show that Betti numbers are well recovered with our method.",Nonlinear dimensionality reduction and topological learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-157.pdf,2012,64.34782608695653,"Extraction of Betti numbers based on a generative model Analysis of multidimensional data is challenging. Topological invariants can be used to summarize essential features of such data sets. In this work, we propose to compute the Betti numbers from a generative model based on a simplicial complex learnt from the data. We compare it to the Witness Complex, a geometric technique based on nearest neighbors. Our results on different data distributions with known topology show that Betti numbers are well recovered with our method."
The stability of feature selection and class prediction from ensemble tree classifiers,"Jérôme Paul, Michel Verleysen, Pierre Dupont",1 - ICTEAM/Machine Learning Group Université catholique de Louvain Place Sainte Barbe 2 1348 Louvain-la-Neuve Belgium,"The bootstrap aggregating procedure at the core of ensemble tree classifiers reduces, in most cases, the variance of such models while offering good generalization capabilities. The average predictive performance of those ensembles is known to improve up to a certain point while increasing the ensemble size. The present work studies this convergence in contrast to the stability of the class prediction and the variable selection performed while and after growing the ensemble. Experiments on several biomedical datasets, using random forests or bagging of decision trees, show that class prediction and, most notably, variable selection typically require orders of magnitude more trees to get stable. 
 Ensemble of tree classifiers Bagging of decision trees is arguably among the simplest approaches to overcome the strong tendency of a single decision tree to over-fit the learning data.",Machine ensembles: theory and applications,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-158.pdf,2012,100.0,"The stability of feature selection and class prediction from ensemble tree classifiers The bootstrap aggregating procedure at the core of ensemble tree classifiers reduces, in most cases, the variance of such models while offering good generalization capabilities. The average predictive performance of those ensembles is known to improve up to a certain point while increasing the ensemble size. The present work studies this convergence in contrast to the stability of the class prediction and the variable selection performed while and after growing the ensemble. Experiments on several biomedical datasets, using random forests or bagging of decision trees, show that class prediction and, most notably, variable selection typically require orders of magnitude more trees to get stable. 
 Ensemble of tree classifiers Bagging of decision trees is arguably among the simplest approaches to overcome the strong tendency of a single decision tree to over-fit the learning data."
Quantile regression with multilayer perceptrons,"S.-F Dimby, J Rynkiewicz",1 - Universite Paris 1 -SAMM 90 Rue de Tolbiac 75013 Paris France,"We consider nonlinear quantile regression involving multilayer perceptrons (MLP). In this paper we investigate the asymptotic behavior of quantile regression in a general framework. First by allowing possibly non-identifiable regression models like MLP's with redundant hidden units, then by relaxing the conditions on the density of the noise. In this paper, we present an universal bound for the overfitting of such model under weak assumptions. The main application of this bound is to give a hint about determining the true architecture of the MLP quantile regression model. As an illustration, we use this theoretical result to propose and compare effective criteria to find the true architecture of such regression model.",Regression,https://www.esann.org/sites/default/files/proceedings/legacy/es2012-159.pdf,2012,98.94736842105263,"Quantile regression with multilayer perceptrons We consider nonlinear quantile regression involving multilayer perceptrons (MLP). In this paper we investigate the asymptotic behavior of quantile regression in a general framework. First by allowing possibly non-identifiable regression models like MLP's with redundant hidden units, then by relaxing the conditions on the density of the noise. In this paper, we present an universal bound for the overfitting of such model under weak assumptions. The main application of this bound is to give a hint about determining the true architecture of the MLP quantile regression model. As an illustration, we use this theoretical result to propose and compare effective criteria to find the true architecture of such regression model."
